Latitude,Longitude
-7.355506437,112.774306061
-7.355506437,112.774306061
-7.355506437,112.774306061
-7.355506437,112.774306061
-7.355506437,112.774306061
-7.355506437,112.774306061
-7.355506437,112.774306061
-7.355506437,112.774306061
-7.355506437,112.774306061
-7.355506437,112.774306061
-7.355506437,112.774306061
-7.355506437,112.774306061
-7.355506437,112.774306061
-7.355506437,112.774306061
-7.355506437,112.774306061
-7.355506437,112.774306061
-7.355506437,112.774306061
-7.355506437,112.774306061
-7.355506437,112.774306061
-7.355506437,112.774306061
-7.355506437,112.774306061
-7.355506437,112.774306061
-7.355506437,112.774306061
-7.355506437,112.774306061
-7.355506437,112.774306061
-7.355506437,112.774306061
-7.355506437,112.774306061
-7.355506437,112.774306061
-7.355506437,112.774306061
-7.355506437,112.774306061
-7.355506437,112.774306061
-7.355506437,112.774306061
-7.355506437,112.774306061
-7.355506437,112.774306061
-7.355506437,112.774306061
-7.355506437,112.774306061
-7.355506437,112.774306061
-7.355506437,112.774306061
-7.355506437,112.774306061
-7.355506437,112.774306061
-7.355506437,112.774306061
-7.355506437,112.774306061
-7.355506437,112.774306061
-7.355506437,112.774306061
-7.355506437,112.774306061
-7.355506437,112.774306061
-7.355506437,112.774306061
-7.355506437,112.774306061
-7.355506437,112.774306061
-7.355506437,112.774306061
-7.355506437,112.774306061
-7.355506437,112.774306061
-7.355506437,112.774306061
-7.355506437,112.774306061
-7.355506437,112.774306061
-7.355506437,112.774306061
-7.355506437,112.774306061
-7.355506437,112.774306061
-7.355506437,112.774306061
-7.355506437,112.774306061
-7.355506437,112.774306061
-7.355515853,112.77429771
-7.355515853,112.77429771
-7.355515853,112.77429771
-7.355514337,112.774302555
-7.355514337,112.774302555
-7.355514337,112.774302555
-7.355514337,112.774302555
-7.355514337,112.774302555
-7.355514337,112.774302555
-7.35551327,112.774299049
-7.35551327,112.774299049
-7.355502786,112.774303894
-7.355502786,112.774303894
-7.355502786,112.774303894
-7.355503235,112.774295543
-7.355502786,112.774303894
-7.355502786,112.774303894
-7.355501719,112.774300388
-7.355501719,112.774300388
-7.355501719,112.774300388
-7.355510687,112.774300388
-7.355510687,112.774300388
-7.355510687,112.774300388
-7.355510687,112.774300388
-7.355510687,112.774300388
-7.355510687,112.774300388
-7.355511754,112.774303894
